26	27	
0.0535	0.3874		36346	39628	36545	37470	55617	47440	36660	49335	42915	35245		1278452	1859380	1519029	1282716	1743850	1572298	1509134	1481111	1532169	1191240	
0.8022	0.1957		46956	54865	120499	67960	62643	60418	49537	48269	54648	46890		1409874	1498271	1638383	1588360	1691869	1330306	1162483	1176831	1293354	1336490	
0.2022	0.7601		60292	42913	57587	42348	55119	43770	56247	39421	42544	43946		1750369	1498981	1706904	1203153	1393955	1357301	1815376	1156139	1328231	1503659	
0.8141	0.635		50525	55668	68527	63252	71234	77014	62060	52136	57351	68542		1148770	1385537	1478412	1463417	1492844	1581014	1553024	1161323	1249524	1455840	
0.7711	0.9072		61511	67224	54405	68567	73539	57173	66885	70679	60676	61969		1283779	1449906	992675	1306428	1454035	1146816	1246033	1434843	1152779	1232355	
0.0905	0.7794		35829	39274	37018	41609	37221	50794	49788	60924	38447	39829		1161307	1309739	1226703	1268772	1345976	1512051	1373917	1257346	1434359	1404070	
0.224	0.1215		46859	36883	47169	59201	46547	48456	33112	34117	36250	36689		1498679	1396253	1450634	1445497	1578165	1415504	1111896	1140282	1192537	1180494	
0.4899	0.5613		46965	48607	56746	56862	59460	55653	47018	43119	57410	58585		1437264	1334808	1613285	1524782	1867609	1583174	1305368	1160028	1450212	1543913	
0.9355	0.678		137215	61996	72307	60368	66372	76368	60023	58305	67413	60227		1452547	1357099	1382510	1103215	1269971	1454629	1262880	1072495	1195845	1261340	
0.4959	0.1494		56027	39302	37545	44186	44181	45165	44717	58572	63469	52727		1413592	1300732	1008951	1200381	1243001	1482056	1199707	1407131	1586859	1468147	
0.2435	0.4031		40874	39997	39400	39519	37695	45203	39800	47736	53919	41085		1201561	1267777	1395905	1175070	1183978	1322302	1087722	1266921	1540789	1357267	
0.354	0.1267		54992	56814	44973	39570	36881	38814	39479	51430	45287	40167		1941457	1843329	1354319	1313872	1356027	1305936	1372281	1585393	1507966	1437163	
0.312	0.8068		63681	57931	57180	58871	63420	47569	42386	60288	45905	42758		1902707	1769825	1743560	1499805	1409666	1787642	1341168	1495753	1380896	1281329	
0.0967	0.3335		39080	51336	92824	33958	36440	34241	45042	30803	46228	43592		1392236	1612085	1812518	1374434	1343890	1461267	1106774	1081330	1428416	1502389	
0.8086	0.7478		120519	56954	61765	60648	57658	60016	86168	72915	67517	72706		1264654	1248023	1221778	1178705	1134518	1250568	1310551	1463750	1368242	1420037	
0.1081	0.8799		55810	42620	45170	35457	35843	42373	40425	56653	38275	35387		1498994	1386055	1262878	1237915	1182351	1526714	1325489	1587978	1333034	1038447	
0.8804	0.474		49320	51124	61074	57524	97515	104019	67259	70385	59413	71549		1407128	1366709	1847360	1305916	1640835	2436793	1448858	1504609	1163975	1453678	
0.4784	0.6701		56196	70919	50159	55555	47927	51091	51817	57486	49763	51453		1355502	1385146	1347970	1331391	1405815	1404985	1638295	1345503	1284792	1341661	
0.9101	0.5834		120471	59563	65228	56821	58014	63214	70876	72085	56553	73322		1875285	1317360	1513921	1390835	1207137	1330383	1425691	1654460	1217084	1449658	
0.8841	0.2678		68921	59733	57056	58483	53400	57809	58198	63760	52103	64334		1764517	1366349	1210089	1308044	1361461	1294216	1363803	1657443	1438697	1568051	
0.4703	0.8913		61045	59196	56254	114585	47758	51570	54365	49261	48362	51024		1437179	1415086	1559099	1496462	1282939	1520677	1418437	1277369	1300765	1181202	
0.5967	0.2349		50788	53494	61172	117728	54217	67017	57242	55682	52432	48510		1349055	1130820	1534233	1631676	1631628	1367632	1750356	1538228	1591402	1462109	
0.8978	0.3782		64181	64917	74171	50091	67640	67432	48492	54045	54647	51353		1481528	1259573	1266360	1270963	1502862	1687123	1238965	1217829	1371763	1356628	
0.281	0.2206		41180	61342	40989	46793	43472	45034	38269	35867	50511	35398		1407667	1468197	1390274	1446400	1388368	1315698	1237047	1332216	1520772	1056592	
0.8495	0.4126		73830	50865	48465	52532	71410	56578	68201	50908	66246	75371		1540881	1171933	1024152	1110056	1452129	1293283	1172271	1141937	1363535	1220105	
0.9824	0.2319		49856	67189	59249	65705	62179	69312	49325	58299	50930	63636		1244495	1758526	1429489	1670385	1354092	1367149	1081894	1213765	1353774	1453163	
0.5315	0.3979		64847	46770	51670	41207	44495	48838	55770	44709	43796	56989		1590055	1253219	1282342	1069375	1151733	1374622	1515014	1329041	1243336	1550674	
0.4453	0.4691		46544	42624	47608	42474	40304	50098	58722	59700	43716	45297		1315835	1246099	1089114	1129442	1300572	1319944	1421401	1460500	1178914	1157031	
0.2477	0.1163		48073	32999	43344	46839	33814	45233	44677	36671	44797	37847		1625675	1263572	1499208	1485516	1302041	1430200	1572544	1361414	1604183	1550470	
0.2076	0.6067		43189	41024	37366	41172	45505	39548	54058	39977	40894	51872		1291894	1199899	1172057	1251715	1250953	1111794	1359925	1246329	1207821	1405972	
0.0523	0.091		33457	33007	33258	45224	29923	30889	32493	38320	35852	28738		1256078	1430639	1262835	1421266	1301252	1168627	1100542	1293761	1215687	1182996	
