35	36	37	
0.5824	0.0675	0.4395		15446	15728	15633		567726	572807	583160	
0.0666	0.34	0.811		15498	12664	12581		583109	580464	652336	
0.3682	0.4846	0.6181		17200	18159	22681		643126	639553	666370	
0.2514	0.057	0.8972		13090	14562	17868		600479	599174	644514	
0.7102	0.4827	0.9585		26203	25972	26000		665579	700539	709779	
0.2272	0.7568	0.565		21429	21503	16668		642728	681373	667030	
0.4516	0.7496	0.8395		22912	27520	22472		629743	652365	652800	
0.1364	0.6275	0.2432		14616	13448	14454		625304	618041	674151	
0.7236	0.8188	0.0942		18820	18292	18438		562465	561879	564102	
0.4596	0.2604	0.3893		17501	16407	14595		583051	582415	604255	
0.9049	0.9728	0.555		25481	30429	25448		578285	661940	592881	
0.6675	0.2297	0.4142		20072	14993	16003		616416	540442	589813	
0.6425	0.4536	0.2704		21358	20194	15664		635947	644302	678012	
0.9202	0.4683	0.5473		26665	26516	26585		627737	626803	636088	
0.7504	0.6769	0.2669		22455	22495	22532		624640	614111	659326	
0.8805	0.2989	0.6918		25163	20497	23962		615777	624239	668460	
0.216	0.519	0.0644		14244	14675	13682		623244	634635	632335	
0.7527	0.8056	0.131		19678	19775	21708		627870	638694	656323	
0.1622	0.4915	0.5862		14381	18306	13770		630956	635591	626499	
0.5302	0.1809	0.2113		15300	14978	13795		553242	552168	551223	
0.6963	0.4982	0.5528		19619	23040	23327		621663	629099	644888	
0.0857	0.5255	0.2515		10614	13929	13350		570399	604736	610224	
0.9583	0.1366	0.2422		20046	19436	20325		605087	594101	621243	
0.5745	0.4688	0.6305		17091	17119	17151		564372	575926	582308	
0.9468	0.2917	0.5777		18362	20441	20493		577609	586846	594589	
0.2449	0.3016	0.3157		11439	11250	11265		571499	550840	556515	
0.8466	0.1685	0.5043		21980	21630	17025		639289	641713	568173	
0.7494	0.4207	0.0849		17046	17630	16606		596644	602436	557054	
0.0906	0.7833	0.8469		24019	20750	20246		585714	560955	608676	
0.7636	0.1525	0.2971		27555	19868	20943		654629	640781	687868	
0.4646	0.2299	0.637		20784	20257	20388		587476	618139	625607	
0.0537	0.4269	0.9418		15033	15493	15021		610608	633005	631102	
0.2169	0.4128	0.5199		17088	13182	14073		602102	646180	631998	
0.0561	0.4319	0.2615		13672	13280	13444		669646	630444	648715	
0.8202	0.4668	0.2856		25025	24938	25260		599541	603252	608530	
0.2517	0.2009	0.827		19279	22681	24782		583783	602419	648147	
0.5909	0.3432	0.0592		13444	14072	16923		607804	629209	662080	
0.8218	0.7967	0.9313		35581	34846	34400		605638	612333	612805	
0.2326	0.888	0.4783		16217	17428	17043		628600	619106	602916	
0.4418	0.463	0.535		16779	16220	24068		611374	550817	620815	
0.1366	0.0728	0.2186		13130	10349	9864		577026	586238	585423	
0.3696	0.5557	0.5711		18379	23881	18411		548833	655892	562563	
0.0532	0.3208	0.9744		17797	18990	16579		597775	602382	597782	
0.3755	0.7114	0.2765		20508	14756	16596		565643	592197	568298	
0.4102	0.6352	0.0735		17179	17227	15410		616554	640314	574134	
0.6908	0.1586	0.6304		18998	19392	19615		653861	660388	668621	
0.563	0.9581	0.9011		30521	29954	30287		630407	622563	636306	
0.3183	0.7015	0.7502		23393	23867	23656		664552	665606	691663	
0.7618	0.3028	0.6676		18315	18236	18804		550468	549728	552468	
